id;name;info;social_media
1;Acero Directo indexing;Cuesta Caribbean;Berkshire Auto
2;invoice;Dinar Card;estandardización Inversor Buckinghamshire
3;navigating;Borders rich;Proactivo Ergonómico e-services
4;Account Productor;feed Account;Polígono generating
5;Guapa whiteboard;Genérico infomediaries Calidad;copying program política
6;Granito application Facilitador;didactica front-end Cambridgeshire;Decoración
7;Increible GB;sticky JBOD;connecting architect iterate
8;Fantástico wireless;estructura invoice leading-edge;override
9;Card Cambridgeshire reboot;fritas Grecia Metal;groupware back sistema
10;Seychelles Coche;transicional;Mobilidad Joyería matrix
